 2.50  1500.  0.0  2.0   1.2909   -0.3807    1.2102   -0.2134    0.0398  q PD
 3.00  1500.  0.0  2.0   1.1961   -0.3121    1.1173   -0.1530    0.0420  q PD
 3.50  1500.  0.0  2.0   1.2359   -0.3686    1.1642   -0.2298    0.0491  q PD
 4.00  1500.  0.0  2.0   1.3410   -0.4786    1.2888   -0.3749    0.0615  q PD
 4.50  1500.  0.0  2.0   1.8119   -1.0014    1.7864   -0.9145    0.1444  q PD
 5.00  1500.  0.0  2.0   1.6354   -0.7874    1.5836   -0.6861    0.0451  q PD
 5.50  1500.  0.0  2.0   1.3417   -0.4997    1.3595   -0.5050    0.1561  q PD
 2.50  1600.  0.0  2.0   1.1639   -0.2535    1.0901   -0.0922    0.0062  q PD
 3.00  1600.  0.0  2.0   1.0994   -0.1913    1.0284   -0.0471    0.0304  q PD
 3.50  1600.  0.0  2.0   1.1372   -0.2481    1.0682   -0.1153    0.0479  q PD
 4.00  1600.  0.0  2.0   1.1439   -0.2615    1.0798   -0.1449    0.0653  q PD
 4.50  1600.  0.0  2.0   1.2051   -0.3375    1.1558   -0.2477    0.0518  q PD
 5.00  1600.  0.0  2.0   1.2100   -0.3503    1.1683   -0.2742    0.0560  q PD
 5.50  1600.  0.0  2.0   1.2634   -0.4091    1.2423   -0.3637    0.0754  q PD
 2.50  1700.  0.0  2.0   1.0287   -0.1149    0.9567    0.0468    0.0346  q PD
 3.00  1700.  0.0  2.0   1.0527   -0.1511    0.9839   -0.0065    0.0125  q PD
 3.50  1700.  0.0  2.0   1.0690   -0.1822    1.0065   -0.0561    0.0198  q PD
 4.00  1700.  0.0  2.0   1.0685   -0.1922    1.0125   -0.0847    0.0348  q PD
 4.50  1700.  0.0  2.0   1.0225   -0.1490    0.9753   -0.0629    0.0468  q PD
 5.00  1700.  0.0  2.0   1.0418   -0.1692    0.9958   -0.0891    0.0579  q PD
 5.50  1700.  0.0  2.0   1.1282   -0.2599    1.0885   -0.1917    0.0596  q PD
 2.50  1800.  0.0  2.0   1.0419   -0.1193    0.9671    0.0421    0.0330  q PD
 3.00  1800.  0.0  2.0   0.9929   -0.0864    0.9318    0.0482    0.0430  q PD
 3.50  1800.  0.0  2.0   0.9900   -0.1134    0.9293    0.0143    0.0216  q PD
 4.00  1800.  0.0  2.0   0.9915   -0.1253    0.9423   -0.0240    0.0122  q PD
 4.50  1800.  0.0  2.0   1.0114   -0.1483    0.9716   -0.0699    0.0141  q PD
 5.00  1800.  0.0  2.0   0.9887   -0.1269    0.9510   -0.0565    0.0279  q PD
 5.50  1800.  0.0  2.0   0.9874   -0.1252    0.9530   -0.0634    0.0343  q PD
 2.50  1900.  0.0  2.0   0.9795   -0.0793    0.8894    0.1153    0.0557  q PD
 3.00  1900.  0.0  2.0   0.9900   -0.0851    0.9186    0.0633    0.0282  q PD
 3.50  1900.  0.0  2.0   1.0100   -0.1418    0.9455   -0.0068    0.0305  q PD
 4.00  1900.  0.0  2.0   1.0288   -0.1793    0.9776   -0.0717    0.0345  q PD
 4.50  1900.  0.0  2.0   0.9579   -0.1122    0.9226   -0.0365    0.0308  q PD
 5.00  1900.  0.0  2.0   0.9451   -0.0914    0.9153   -0.0303    0.0053  q PD
 5.50  1900.  0.0  2.0   0.9109   -0.0561    0.8848   -0.0046    0.0062  q PD
 2.50  2000.  0.0  2.0   0.9356   -0.0248    0.8425    0.1717    0.0540  q PD
 3.00  2000.  0.0  2.0   0.9697   -0.0776    0.8871    0.0912    0.0438  q PD
 3.50  2000.  0.0  2.0   0.9628   -0.0782    0.8977    0.0536    0.0261  q PD
 4.00  2000.  0.0  2.0   0.9745   -0.1024    0.9187    0.0068    0.0263  q PD
 4.50  2000.  0.0  2.0   0.9960   -0.1341    0.9501   -0.0469    0.0293  q PD
 5.00  2000.  0.0  2.0   0.9493   -0.0995    0.9166   -0.0340    0.0204  q PD
 5.50  2000.  0.0  2.0   0.8832   -0.0370    0.8594    0.0125    0.0160  q PD
 2.50  2100.  0.0  2.0   0.8767    0.0242    0.7717    0.2452    0.0554  q PD
 3.00  2100.  0.0  2.0   0.9290   -0.0304    0.8438    0.1407    0.0532  q PD
 3.50  2100.  0.0  2.0   1.0004   -0.1157    0.9275    0.0262    0.0463  q PD
 4.00  2100.  0.0  2.0   0.9689   -0.0879    0.9123    0.0203    0.0348  q PD
 4.50  2100.  0.0  2.0   0.9622   -0.0981    0.9116   -0.0028    0.0348  q PD
 5.00  2100.  0.0  2.0   0.9337   -0.0787    0.8935   -0.0038    0.0319  q PD
 5.50  2100.  0.0  2.0   0.8817   -0.0305    0.8537    0.0240    0.0196  q PD
 2.50  2200.  0.0  2.0   0.8023    0.1277    0.7149    0.3146    0.0516  q PD
 3.00  2200.  0.0  2.0   0.7959    0.1185    0.7212    0.2730    0.0356  q PD
